Order,Family,ScientificName,CommonName,RangeExtent,AreaOfOccupancy,LongTermTrend,SRank,GRrank
Coleoptera,Cerambycidae,Acmaeops discoideus,Discoid Long-horned Beetle,A,A,U,S1,GNR
Coleoptera,Cerambycidae,Acmaeops proteus,Shapeless Flower Longhorn Beetle,Z,Z,AB,SH,G5
Coleoptera,Cerambycidae,Alosternida chalybaea,a long-horned beetle,Z,Z,U,SH,GNR
Coleoptera,Cerambycidae,Analeptura lineola,Lined Long-horned Beetle,F,EI,G,S4S5,G5
Coleoptera,Cerambycidae,Anastrangalia sanguinea,Bloody Flower Longhorn Beetle,Z,Z,U,SH,G5
Coleoptera,Cerambycidae,Anoplodera pubera,Downy Long-horned Beetle,E,D,AF,S3,G5
Coleoptera,Cerambycidae,Anthophylax attenuatus,Mottled Longhorned Beetle,CE,D,G,S3,G5
Coleoptera,Cerambycidae,Anthophylax cyaneus,Red-footed Long-horned Beetle,F,D,G,S4,G5
Coleoptera,Cerambycidae,Anthophylax viridis,Green Long-horned Beetle,E,C,G,S3,G5
Coleoptera,Cerambycidae,Bellamira scalaris,Ladder-marked Long-horned Beetle,F,D,G,S4,G5
Coleoptera,Cerambycidae,Brachyleptura champlaini,Champlain's Long-horned Beetle,E,C,G,S3,G5
Coleoptera,Cerambycidae,Brachyleptura circumdata,Dark-shouldered Long-horned Beetle,Z,Z,AB,SH,GNR
Coleoptera,Cerambycidae,Brachyleptura rubrica,Red-winged Long-horned Beetle,EF,D,AF,S3,G5
Coleoptera,Cerambycidae,Brachyleptura vagans,a long-horned beetle,EF,D,AF,S3,GNR
Coleoptera,Cerambycidae,Brachysomida bivittata,Double-lined Long-horned Beetle,Z,Z,AB,SH,GNR
Coleoptera,Cerambycidae,Centrodera decolorata,Discoloured Long-horned Beetle,F,D,G,S4,G5
Coleoptera,Cerambycidae,Charisalia americana,America Long-horned Beetle,A,B,U,S1,GNR
Coleoptera,Cerambycidae,Desmocerus palliatus,Elderberry Borer,F,EI,AF,S3S5,G5
Coleoptera,Cerambycidae,Encyclops caerulea,Cerulean Long-horned Beetle,B,C,AF,S2,GNR
Coleoptera,Cerambycidae,Etorofus deletus,Deleted Long-horned Beetle,U,U,U,SU,GNR
Coleoptera,Cerambycidae,Etorofus plebejus,Plebeian Long-horned Beetle,CD,C,G,S3,G5
Coleoptera,Cerambycidae,Etorofus subhamatus,Hemlock Long-horned Beetle,EF,D,G,S3?,G5
Coleoptera,Cerambycidae,Evodinus monticola,Flower Longhorn Beetle,F,DE,G,S4,G5
Coleoptera,Cerambycidae,Gaurotes cyanipennis,Cyan Long-horned Beetle,F,D,AF,S3,G5
Coleoptera,Cerambycidae,Gaurotes thoracica,a long-horned beetle,Z,Z,U,SH,GNR
Coleoptera,Cerambycidae,Grammoptera exigua,Confined Long-horned Beetle,Z,Z,AB,SH,GNR
Coleoptera,Cerambycidae,Grammoptera haematites,Dogwood Long-horned Beetle,A,B,AF,S1,G5
Coleoptera,Cerambycidae,Grammoptera subargentata,Silver Flower Longhorn Beetle,A,A,AD,S1,G5
Coleoptera,Cerambycidae,Idiopidonia pedalis,Tawny-legged Long-horned Beetle,A,B,AF,S1,G5
Coleoptera,Cerambycidae,Judolia cordifera,Chestnut Long-horned Beetle,F,EI,G,S4S5,GNR
Coleoptera,Cerambycidae,Judolia montivagans,Mountain Flower Longhorn Beetle,A,B,U,S1,G5
Coleoptera,Cerambycidae,Leptorhabdium pictum,a long-horned beetle,F,D,G,S4,GNR
Coleoptera,Cerambycidae,Leptura abdominalis,a long-horned beetle,A,B,U,SU,GNR
Coleoptera,Cerambycidae,Lepturobosca chrysocoma,Golden Flower Longhorn Beetle,Z,Z,U,SH,G5
Coleoptera,Cerambycidae,Lepturopsis biforis,Two-spotted Long-horned Beetle,F,D,AF,S3,G5
Coleoptera,Cerambycidae,Lepturopsis dolorosa,Sorrowful Long-horned Beetle,U,U,U,SU,GNR
Coleoptera,Cerambycidae,Metacmaeops vittata,Striped Long-horned Beetle,F,D,AF,S3,GNR
Coleoptera,Cerambycidae,Necydalis mellita,Slender Long-horned Beetle,D,C,U,SU,GNR
Coleoptera,Cerambycidae,Neoalosterna capitata,Helmet Long-horned Beetle,A,B,AD,S1,G5
Coleoptera,Cerambycidae,Pidonia aurata,a long-horned beetle,Z,Z,AB,SH,GNR
